NUMERO;codigo;anterior;nuevo;proddescription;talla;cantidad;codigodebarra;regimen;linea;tipo;marca;deporte;edad;genero;ESTADDO;cantidad
005-000223;033905;22685;;LIQUID. POR CIERRA PUERTA;10;9;4044426549183;General;ACCESORIOS;GUANTES PARA MOTO;ADIDAS;FOOTBALL;ADULTO;VARON;;2
005-000223;AB0499;24047;;CLMLT CAP W;NS;6;4055015636115;General;ACCESORIOS;GORRO;ADIDAS;TRAINNING;ADULTO;DAMA;;2
005-000223;AB0999;10348;;WOM GLOVE GRAPH;L;5;4055017061328;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;2
005-000223;AB1003;24053;;WOM GLOVE GRAPH;L;12;4055017057024;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;1
005-000223;AB1003;24054;;WOM GLOVE GRAPH;M;10;4055017057048;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;2
005-000223;AB1665;10290;;ESS GLOVE M;L;6;4055017005315;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;2
005-000223;AB1665;10291;;ESS GLOVE M;M;9;4055017005346;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;1
005-000223;M65182;5220;;LIQUID. POR CIERRA PUERTA;M;4;4054708711658;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;2
005-000223;S22480;7315;;LIQUID. POR CIERRA PUERTA;M;14;4055012716780;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;3
005-000223;S22481;7319;;LIQUID. POR CIERRA PUERTA;M;30;4055012716988;General;ACCESORIOS;GUANTES DE GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;3
005-000224;1218012-400;24939;;UA 3'' Performance Wristband-RYL//WHT;NS;7;885559161552;ZOFRA;ACCESORIOS;MUÑEQUERA;UNDER ARMOUR;TRAINNING;ADULTO;UNISEX;;2
005-000224;1254123-001;24236;;Blitzing II-BLK//WHT;M;6;888284699338;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;VARON;;2
005-000224;1254123-040;24238;;Blitzing II-GPH//BLK;M;6;888284860196;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;VARON;;2
005-000224;1257748-002;24197;;Men's UA Shadow 2.0-BLK/HVY/HVY;NS;18;888284862183;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;RUNNING;ADULTO;VARON;;3
005-000224;1257748-035;26462;;Men's UA Shadow 2.0;NS;17;888284862176;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;RUNNING;ADULTO;VARON;;2
005-000224;1257748-100;26497;;Men's UA Shadow 2.0;NS;16;888284862114;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;RUNNING;ADULTO;VARON;;2
005-000224;1262157-001;26483;;Men's Closer Update;M;5;888376973865;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;VARON;;2
005-000224;1262157-025;26510;;Men's Closer Update;M;3;888376973957;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;VARON;;2
005-000224;1272178-002;26514;;Armour Solid Cap;NS;18;889362728643;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;DAMA;;2
005-000224;1273276-001;26488;;Men's UA Flash 2.0 Cap;NS;9;889362010328;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;RUNNING;ADULTO;DAMA;;2
